name,smiles,tanimoto_combo_legacy,tanimoto_combination,tanimoto_shape,tanimoto_color,overlap_volume,overlap_color,self_overlap_volume_query,self_overlap_volume_fit,self_overlap_color_query,self_overlap_color_fit,RefTversky_volume,RefTversky_color,FitTversky_volume,FitTversky_color,RefTverskyCombo,FitTverskyCombo
CHEMBL3322183,CNC(=O)Nc1nc2cc(Oc3cccc(C)c3)ccc2[nH]1,1.1793123,0.5896562,0.70397496,0.47533736,899.1297,30.059996,1134.4746,1041.8733,42.087975,51.211315,0.796,0.707,0.859,0.592,1.502,1.451
CHEMBL3656707,CCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2Cc2cccc(Cl)c2)CC3)n1,1.1793077,0.58965385,0.6249611,0.5543466,989.5246,35.982063,1134.4746,1438.388,42.087975,58.803043,0.861,0.838,0.695,0.621,1.699,1.316
CHEMBL53121,Fc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1.1793067,0.5896534,0.6944209,0.48488584,831.55914,26.354269,1134.4746,894.5703,42.087975,38.61779,0.741,0.629,0.917,0.679,1.37,1.597
CHEMBL432496,CCN(c1nc(C)cc(N2CCOCC2)n1)c1ccc(C(C)C)cc1Br,1.1793025,0.5896512,0.6586544,0.520648,920.496,29.283884,1134.4746,1183.5615,42.087975,43.44098,0.81,0.695,0.779,0.675,1.504,1.455
CHEMBL218800,N#Cc1ccccc1Cn1ccc2nc(-c3ccccc3)nc-2c1,1.1792946,0.5896473,0.69745135,0.48184323,939.178,32.018238,1134.4746,1151.2891,42.087975,56.37975,0.827,0.748,0.816,0.575,1.575,1.392
CHEMBL4292012,CNc1ncc(C(=O)NCc2ccc(C(F)(F)F)cc2)c2nc(-c3ccco3)nn12,1.17928,0.58964,0.64404935,0.53523076,1011.61957,32.092995,1134.4746,1447.8625,42.087975,49.966064,0.88,0.755,0.706,0.647,1.635,1.354
CHEMBL1367521,Cc1ccc(Nc2nc(Cl)c(C=O)s2)cc1Cl,1.1792772,0.5896386,0.6442863,0.53499085,735.97516,25.90394,1134.4746,743.81134,42.087975,32.235374,0.66,0.623,0.964,0.791,1.283,1.756
CHEMBL448412,O=S(=O)(c1ccc(Cl)c(Cl)c1)N1CCN(c2ncccc2C(F)(F)F)CC1,1.1792737,0.58963686,0.6278951,0.5513786,908.9214,29.618822,1134.4746,1222.0156,42.087975,41.248604,0.798,0.704,0.746,0.717,1.503,1.464
CHEMBL3684759,NC1=N[C@H](CCc2ccc(Cl)c(Cl)c2)CO1,1.1792642,0.5896321,0.6847885,0.49447563,748.40857,25.525738,1134.4746,706.8386,42.087975,35.05959,0.672,0.612,1.028,0.721,1.284,1.749
CHEMBL584813,C[C@@]1(CC(=O)NCc2ccccc2)CC2(CCCCC2)OO1,1.1792448,0.5896224,0.6676229,0.51162183,852.35333,33.051334,1134.4746,994.57745,42.087975,55.56446,0.756,0.773,0.851,0.602,1.529,1.453
CHEMBL517320,N#Cc1nc(-c2nnc(Cc3ccc(F)cc3)o2)c(O)c2ncccc12,1.1792386,0.5896193,0.6626509,0.5165876,954.392,32.413265,1134.4746,1260.1812,42.087975,53.070248,0.837,0.76,0.761,0.617,1.597,1.378
CHEMBL3211420,COc1cc(/C=N/N=C(N)N)ccc1OCc1ccccc1Cl,1.1792352,0.5896176,0.73970836,0.43952686,926.1203,27.85217,1134.4746,1043.6531,42.087975,49.132725,0.82,0.656,0.884,0.571,1.476,1.455
